Event	ID	Name			Wwise Object Path	Notes
	2201569778	Play_MUS_GAMEPLAY			\Default Work Unit\Play_MUS_GAMEPLAY	
	3854155799	Play_Footsteps			\Default Work Unit\Play_Footsteps	

Switch Group	ID	Name			Wwise Object Path	Notes
	1012989952	Foosteps			\Default Work Unit\Foosteps	

Switch	ID	Name	Switch Group			Notes
	2412606308	Carpet	Foosteps			
	3928445212	Hardfloor	Foosteps			

State Group	ID	Name			Wwise Object Path	Notes
	89505537	Gameplay			\Default Work Unit\Gameplay	

State	ID	Name	State Group			Notes
	748895195	None	Gameplay			
	2607556080	Menu	Gameplay			
	2617105480	Overview	Gameplay			

Effect plug-ins	ID	Name	Type				Notes
	1008402193	Low_Pass_20KHz	Wwise Parametric EQ			

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	31341927	SFX_Player_Carpet_Footsteps_04	D:\Games\Gamerella2025\Gamerella2025_WwiseProject\.cache\9F\{9F929B88-898F-6A5C-F827-6194C97A7577}.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Footsteps\SFX_Footsteps_Carpet\SFX_Player_Carpet_Footsteps_04		98980
	31534451	BGM_Curyeux_HUB3_PianoLead_Zone1_16bar_140	D:\Games\Gamerella2025\Gamerella2025_WwiseProject\.cache\CF\{CF9FE99D-F247-AEE6-6F15-A081894ADC0E}.wem		\Interactive Music Hierarchy\Default Work Unit\MUS_GAMEPLAY\GAMEPLAY_A\BGM_Curyeux_HUB3_PianoLead_Zone1_16bar_140		5745744
	40053902	SFX_Player_Hardfloor_Footsteps_04	D:\Games\Gamerella2025\Gamerella2025_WwiseProject\.cache\A7\{A7539220-C15A-E0F2-186B-B0B187CD20D4}.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Footsteps\SFX_Footsteps_Hardfloor\SFX_Player_Hardfloor_Footsteps_04		93100
	104195498	SFX_Player_Carpet_Footsteps_01	D:\Games\Gamerella2025\Gamerella2025_WwiseProject\.cache\2C\{2C0CA474-D25E-EFB4-89D9-0CBFC5F9D877}.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Footsteps\SFX_Footsteps_Carpet\SFX_Player_Carpet_Footsteps_01		96820
	113918725	SFX_Player_Carpet_Footsteps_06	D:\Games\Gamerella2025\Gamerella2025_WwiseProject\.cache\A9\{A985DDDF-4DE4-199F-3312-FD450627473F}.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Footsteps\SFX_Footsteps_Carpet\SFX_Player_Carpet_Footsteps_06		101620
	195080778	SFX_Player_Hardfloor_Footsteps_10	D:\Games\Gamerella2025\Gamerella2025_WwiseProject\.cache\99\{995B3605-BAD2-18D3-C83B-0CA04FC25ED6}.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Footsteps\SFX_Footsteps_Hardfloor\SFX_Player_Hardfloor_Footsteps_10		93100
	210195250	SFX_Player_Carpet_Footsteps_10	D:\Games\Gamerella2025\Gamerella2025_WwiseProject\.cache\9D\{9DACFEA8-5981-196F-F645-44BFE75089B2}.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Footsteps\SFX_Footsteps_Carpet\SFX_Player_Carpet_Footsteps_10		95260
	226153435	SFX_Player_Hardfloor_Footsteps_01	D:\Games\Gamerella2025\Gamerella2025_WwiseProject\.cache\CC\{CCDD3490-88AF-71C6-D047-B4E6D33F0298}.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Footsteps\SFX_Footsteps_Hardfloor\SFX_Player_Hardfloor_Footsteps_01		93100
	237620839	BGM_Curyeux_HUB3_Piano3_Zone1_5_16bar_140	D:\Games\Gamerella2025\Gamerella2025_WwiseProject\.cache\DE\{DE05762E-0731-879D-DF81-6F0F0DBF5A08}.wem		\Interactive Music Hierarchy\Default Work Unit\MUS_GAMEPLAY\GAMEPLAY_B\BGM_Curyeux_HUB3_Piano3_Zone1_5_16bar_140		6350544
